,time,x_1s,y_1s,z_1s
165,2019-11-15 00:03:32,0.01953125,0.0,-1.0
166,2019-11-15 00:03:33,0.01953125,0.0,-1.0
167,2019-11-15 00:03:34,0.01953125,0.0,-1.0
168,2019-11-15 00:03:36,0.02734375,0.0,-1.0
169,2019-11-15 00:03:37,0.01953125,0.0,-1.0
170,2019-11-15 00:03:38,0.01953125,0.0,-1.0
171,2019-11-15 00:03:39,0.01953125,0.0,-1.0
172,2019-11-15 00:03:40,0.01953125,0.0,-1.0
173,2019-11-15 00:03:41,0.01953125,0.0,-1.0
174,2019-11-15 00:03:42,0.01953125,0.0,-1.0
175,2019-11-15 00:03:44,0.01953125,0.0,-1.0
176,2019-11-15 00:03:45,0.01953125,0.0,-1.0
177,2019-11-15 00:03:46,0.01953125,0.0,-1.0
178,2019-11-15 00:03:50,0.01953125,0.0,-1.0
179,2019-11-15 00:03:51,0.01953125,0.0,-1.0
180,2019-11-15 00:03:53,0.01953125,0.0,-1.0
181,2019-11-15 00:03:54,0.01953125,0.0,-1.0
182,2019-11-15 00:03:56,0.01953125,0.0,-1.0
183,2019-11-15 00:03:57,0.01953125,0.0,-1.0
184,2019-11-15 00:03:58,0.01953125,0.0,-1.0
185,2019-11-15 00:03:59,0.01953125,0.0,-1.0
186,2019-11-15 00:04:02,0.01953125,0.0,-1.0
187,2019-11-15 00:04:03,0.01953125,0.0,-1.0
188,2019-11-15 00:04:04,0.01953125,0.0,-1.0
189,2019-11-15 00:04:05,0.01953125,0.0,-1.0
190,2019-11-15 00:04:07,0.02734375,0.0,-1.0
191,2019-11-15 00:04:09,0.01953125,0.0,-1.0
192,2019-11-15 00:04:11,0.01953125,0.0,-1.0
193,2019-11-15 00:04:12,0.01953125,0.0,-1.0
194,2019-11-15 00:04:14,0.01953125,0.0,-1.0
195,2019-11-15 00:04:15,0.01953125,0.0,-1.0
196,2019-11-15 00:04:21,0.02734375,0.0,-1.0
197,2019-11-15 00:04:22,0.02734375,0.0,-1.0
198,2019-11-15 00:04:26,0.01953125,0.0,-1.0
199,2019-11-15 00:04:27,0.01953125,0.0,-1.0
200,2019-11-15 00:04:30,0.02734375,0.0,-1.0
201,2019-11-15 00:04:31,0.01953125,0.0,-1.0
202,2019-11-15 00:04:32,0.01953125,0.0,-0.98828125
203,2019-11-15 00:04:33,0.02734375,0.0,-1.0
204,2019-11-15 00:04:36,0.01953125,0.0,-1.0
205,2019-11-15 00:04:37,0.01953125,0.0,-1.0
206,2019-11-15 00:04:41,0.01953125,0.0,-1.0
207,2019-11-15 00:04:42,0.01953125,0.0,-1.0
208,2019-11-15 00:04:43,0.01953125,0.0,-1.0
209,2019-11-15 00:04:44,0.02734375,0.0,-1.0
210,2019-11-15 00:04:45,0.01953125,0.0,-1.0
211,2019-11-15 00:04:47,0.01953125,0.0,-1.0
212,2019-11-15 00:04:48,0.01953125,0.0,-1.0
213,2019-11-15 00:04:50,0.01953125,0.0,-1.0
214,2019-11-15 00:04:52,0.01953125,0.0,-1.0
215,2019-11-15 00:04:53,0.02734375,0.0,-1.0
216,2019-11-15 00:04:54,0.02734375,0.0,-1.0
217,2019-11-15 00:04:55,0.01953125,0.0,-1.0
218,2019-11-15 00:04:57,0.01953125,0.0,-1.0
219,2019-11-15 00:04:58,0.01953125,0.0,-1.0
220,2019-11-15 00:05:00,0.01953125,0.0,-1.0
221,2019-11-15 00:05:02,0.01953125,0.0,-1.0
222,2019-11-15 00:05:03,0.01953125,0.0,-1.0
223,2019-11-15 00:05:04,0.01953125,0.0,-1.0
224,2019-11-15 00:05:05,0.01953125,0.0,-1.0
225,2019-11-15 00:05:07,0.01953125,0.0,-1.0
226,2019-11-15 00:05:08,0.01953125,0.0,-1.0
227,2019-11-15 00:05:09,0.01953125,0.0,-1.0
228,2019-11-15 00:05:10,0.01953125,0.0,-1.0
229,2019-11-15 00:05:11,0.01953125,0.0,-1.0
230,2019-11-15 00:05:12,0.01953125,0.0,-1.0
231,2019-11-15 00:05:13,0.01953125,0.0,-1.0
232,2019-11-15 00:05:15,0.02734375,0.0,-1.0
233,2019-11-15 00:05:16,0.01953125,0.0,-1.0
234,2019-11-15 00:05:17,0.01953125,0.0,-1.0
235,2019-11-15 00:05:18,0.02734375,0.0,-1.0
236,2019-11-15 00:05:19,0.01953125,0.0,-1.0
237,2019-11-15 00:05:20,0.01953125,0.0,-1.0
238,2019-11-15 00:05:21,0.01953125,0.0,-1.0
239,2019-11-15 00:05:22,0.01953125,0.0,-1.0
240,2019-11-15 00:05:23,0.01953125,0.0,-1.0
241,2019-11-15 00:05:25,0.01953125,0.0,-1.0
242,2019-11-15 00:05:26,0.01953125,0.0,-1.0
243,2019-11-15 00:05:27,0.01953125,0.0,-1.0
244,2019-11-15 00:05:28,0.01953125,0.0,-1.0
245,2019-11-15 00:05:29,0.01953125,0.0,-1.0
246,2019-11-15 00:05:30,0.02734375,0.0,-1.0
247,2019-11-15 00:05:32,0.01953125,0.0,-1.0
248,2019-11-15 00:05:35,0.01953125,0.0,-1.0
249,2019-11-15 00:05:36,0.01953125,0.0,-0.98828125
250,2019-11-15 00:05:38,0.01953125,0.0,-1.0
251,2019-11-15 00:05:39,0.01953125,0.0,-1.0
252,2019-11-15 00:05:42,0.01953125,0.0,-1.0
253,2019-11-15 00:05:43,0.01953125,0.0,-1.0
254,2019-11-15 00:05:44,0.01953125,0.0,-1.0
255,2019-11-15 00:05:46,0.01953125,0.0,-1.0
256,2019-11-15 00:05:48,0.01953125,0.0,-1.0
257,2019-11-15 00:05:49,0.01953125,0.0,-0.98828125
258,2019-11-15 00:05:50,0.01953125,0.0,-1.0
259,2019-11-15 00:05:52,0.01953125,0.0,-1.0
260,2019-11-15 00:05:53,0.01953125,0.0,-1.0
261,2019-11-15 00:05:54,0.01953125,0.0,-1.0
262,2019-11-15 00:05:55,0.01953125,0.0,-1.0
263,2019-11-15 00:05:58,0.01953125,0.0,-1.0
264,2019-11-15 00:05:59,0.01953125,0.0,-1.0
265,2019-11-15 00:06:00,0.01953125,0.0,-1.0
266,2019-11-15 00:06:02,0.01953125,0.0,-1.0
267,2019-11-15 00:06:03,0.01953125,0.0,-1.0
268,2019-11-15 00:06:04,0.01953125,0.0,-1.0
269,2019-11-15 00:06:05,0.01953125,0.0,-1.0
270,2019-11-15 00:06:06,0.01953125,0.0,-1.0
271,2019-11-15 00:06:09,0.01953125,0.0,-1.0
272,2019-11-15 00:06:10,0.01953125,0.0,-0.98828125
273,2019-11-15 00:06:11,0.01953125,0.0,-1.0078125
274,2019-11-15 00:06:12,0.01953125,0.0,-1.0
275,2019-11-15 00:06:14,0.01953125,0.0,-1.0
276,2019-11-15 00:06:15,0.01953125,0.0,-1.0
277,2019-11-15 00:06:16,0.01953125,0.0,-1.0
278,2019-11-15 00:06:17,0.02734375,0.0,-1.0
279,2019-11-15 00:06:18,0.01953125,0.0,-1.0
280,2019-11-15 00:06:19,0.01953125,0.0,-1.0
281,2019-11-15 00:06:21,0.01953125,0.0,-0.98828125
282,2019-11-15 00:06:23,0.01953125,0.0,-1.0
283,2019-11-15 00:06:24,0.01953125,0.0,-1.0
284,2019-11-15 00:06:25,0.01953125,0.0,-1.0
285,2019-11-15 00:06:26,0.01953125,0.0,-1.0
286,2019-11-15 00:06:29,0.01953125,0.0,-1.0
